ticker:ccl            close   volume
date                      
2017-06-29  74.40   5467695
2017-06-30  74.47   5157987
2017-07-03  74.53   2452308
2017-07-05  74.61   4015194
2017-07-06  74.32   3394213
2017-07-07  74.25   3933109
2017-07-10  73.69   4937398ticker:crm            close    volume
date                       
2017-01-17  75.02   3152473
2017-01-18  75.78   3969485
2017-01-19  75.57   3274267
2017-01-20  76.03   4593553
2017-01-23  76.16   3770858
2017-01-24  77.11   3730275
2017-01-25  78.47   5690443
2017-01-26  77.95   4121202
2017-01-27  78.21   2219381
2017-01-30  78.71   4964049
2017-01-31  79.10   7835236
2017-02-01  78.58   6199661
2017-02-02  80.13   7676117
2017-02-03  80.21   4975379
2017-02-06  79.75   2664167
2017-02-07  80.21   3628231
2017-02-08  80.70   2568049
2017-02-09  81.03   5148175
2017-02-10  80.64   3061931
2017-02-13  80.91   4327751
2017-02-14  80.92   4809545
2017-02-15  81.67   5271923
2017-02-16  80.82   5234718
2017-02-17  81.47   3674149
2017-02-21  82.18   4324955
2017-02-22  82.08   2741390
2017-02-23  82.07   5595150
2017-02-24  81.78   4434187
2017-02-27  81.54   3289270
2017-02-28  81.35  10532997
2017-03-01  83.81  14319226
2017-03-02  82.67   5884825
2017-03-03  82.22   6223579
2017-03-06  82.50   5328540
2017-03-07  82.97   5431814
2017-03-08  83.48   3734027
2017-03-09  83.28   3646871
2017-03-10  83.51   3929955
2017-03-13  83.61   3463682
2017-03-14  83.51   2933549
2017-03-15  83.48   3074122
2017-03-16  83.52   3762071
2017-03-17  83.03   7828206
2017-03-20  82.90   3428659
2017-03-21  81.55   4206223
2017-03-22  81.88   3057020
2017-03-23  81.52   3056723
2017-03-24  81.61   3701775
2017-03-27  81.61   3403008
2017-03-28  82.14   3216035
2017-03-29  82.38   2873958
2017-03-30  82.56   3483003
2017-03-31  82.49   3174023
2017-04-03  82.31   4224445
2017-04-04  82.97   4441524
2017-04-05  85.34  13289314
2017-04-06  85.00   5014395
2017-04-07  84.38   4876378
2017-04-10  84.24   3401299
2017-04-11  83.86   2536159
2017-04-12  83.37   3098350
2017-04-13  83.13   2594688
2017-04-17  84.20   2960969
2017-04-18  83.71   2498628
2017-04-19  83.50   2840595
2017-04-20  84.05   4012985
2017-04-21  83.79   2946068
2017-04-24  84.17   3193845
2017-04-25  84.75   3016545
2017-04-26  84.95   2164991
2017-04-27  85.85   2944547
2017-04-28  86.12   2919180
2017-05-01  86.66   3290001
2017-05-02  87.09   3503224
2017-05-03  86.55   2786697
2017-05-04  86.52   2140147
2017-05-05  86.97   2595773
2017-05-08  86.86   2168352
2017-05-09  87.13   2886964
2017-05-10  87.31   2920685
2017-05-11  87.71   2731557
2017-05-12  89.04   5586570
2017-05-15  89.80   4053894
2017-05-16  89.75   6422269
2017-05-17  87.84   5619238
2017-05-18  87.75  10179959
2017-05-19  87.40  15733470
2017-05-22  88.94   6058449
2017-05-23  88.49   4344595
2017-05-24  89.60   4708897
2017-05-25  91.27   7407085
2017-05-26  90.83   5284470
2017-05-30  90.86   4626480
2017-05-31  89.64   6030140
2017-06-01  90.05   4890550
2017-06-02  90.86   4969197
2017-06-05  91.38   5537311
2017-06-06  91.10   4296651
2017-06-07  91.39   3483979
2017-06-08  91.25   3804860
2017-06-09  87.27  11672199
2017-06-12  86.18   9281571
2017-06-13  87.27   5308031
2017-06-14  87.17   3554832
2017-06-15  86.27   6661553
2017-06-16  86.00   8004954
2017-06-19  87.54   4835493
2017-06-20  86.92   3095522
2017-06-21  87.56   3794665
2017-06-22  88.47   4412955
2017-06-23  88.62   4890939
2017-06-26  88.11   4866474
2017-06-27  87.68   5371649
2017-06-28  88.09   4257793
2017-06-29  86.80   5215563
2017-06-30  86.60   3943500
2017-07-03  86.10   2741255
2017-07-05  87.50   4719788
2017-07-06  86.85   3275044
2017-07-07  87.92   2454250
2017-07-10  88.50   2332666ticker:RL            close    volume
date                       
2017-01-17  89.58   2393579
2017-01-18  89.29   1400974
2017-01-19  88.20    973211
2017-01-20  88.90    926314
2017-01-23  89.29    800624
2017-01-24  90.11    638037
2017-01-25  91.15   1375414
2017-01-26  90.01    860298
2017-01-27  87.97   1088398
2017-01-30  88.44    939022
2017-01-31  88.43   2011008
2017-02-01  87.37   2174739
2017-02-02  76.61  17508098
2017-02-03  76.17   6439942
2017-02-06  76.53   5378267
2017-02-07  75.98   2082280
2017-02-08  77.50   3074548
2017-02-09  77.98   1604288
2017-02-10  79.61   2330145
2017-02-13  79.34   1648964
2017-02-14  79.49   1848969
2017-02-15  79.17   1761467
2017-02-16  78.47   2069514
2017-02-17  78.39   1802185
2017-02-21  78.19   2495540
2017-02-22  78.11   2068558
2017-02-23  78.65   1476645
2017-02-24  79.21   1075121
2017-02-27  79.79   1019915
2017-02-28  79.33   1821326
2017-03-01  80.57   1550944
2017-03-02  80.71   1757260
2017-03-03  79.79   1227685
2017-03-06  79.73   1130600
2017-03-07  79.14   1437348
2017-03-08  80.43   1323279
2017-03-09  79.68    978682
2017-03-10  80.30    778150
2017-03-13  79.59   1052725
2017-03-14  80.03    702378
2017-03-15  81.25   1041144
2017-03-16  81.04    610224
2017-03-17  80.70   1586419
2017-03-20  79.46   1021806
2017-03-21  78.23   1440073
2017-03-22  78.21    907722
2017-03-23  79.22   1027909
2017-03-24  79.74   1069422
2017-03-27  80.42    878155
2017-03-28  81.65    846342
2017-03-29  82.97   1278051
2017-03-30  81.90   1071755
2017-03-31  81.62    990726
2017-04-03  81.37   1475001
2017-04-04  77.74   2182929
2017-04-05  79.52   2002512
2017-04-06  80.71   1536922
2017-04-07  79.28   1421473
2017-04-10  80.53   1126670
2017-04-11  80.33    638940
2017-04-12  80.18    732809
2017-04-13  79.15    660524
2017-04-17  80.00    505441
2017-04-18  79.53    432272
2017-04-19  80.00   1390231
2017-04-20  79.72   1329936
2017-04-21  78.92   1363405
2017-04-24  79.61   1442185
2017-04-25  80.57    890997
2017-04-26  81.18    868806
2017-04-27  82.42    995953
2017-04-28  80.72    688894
2017-05-01  79.31    608782
2017-05-02  80.81    936013
2017-05-03  79.87   1654280
2017-05-04  80.34   1599978
2017-05-05  82.11   1465314
2017-05-08  82.10    935787
2017-05-09  84.05   1697526
2017-05-10  83.07   1185172
2017-05-11  79.23   2055134
2017-05-12  76.40   2792436
2017-05-15  76.55   1879253
2017-05-16  73.94   2826641
2017-05-17  72.75   4010473
2017-05-18  71.38   4456200
2017-05-19  69.29   4195636
2017-05-22  68.24   2602359
2017-05-23  67.70   1792640
2017-05-24  66.68   1970163
2017-05-25  66.52   1890597
2017-05-26  66.11   1452314
2017-05-30  67.34   2296004
2017-05-31  67.80   2065566
2017-06-01  69.50   2147019
2017-06-02  69.17   2261162
2017-06-05  69.16   2651492
2017-06-06  69.02   2286008
2017-06-07  69.13   2261808
2017-06-08  69.20   2186401
2017-06-09  70.15   1413208
2017-06-12  69.70   2212634
2017-06-13  70.03   1551140
2017-06-14  70.59   1306167
2017-06-15  71.57   2158389
2017-06-16  72.08   2435346
2017-06-19  71.43   1773158
2017-06-20  70.66   1340561
2017-06-21  70.91   1900630
2017-06-22  71.43   1601404
2017-06-23  72.73   1117175
2017-06-26  72.89    713971
2017-06-27  72.88   1404159
2017-06-28  72.85    799929
2017-06-29  73.31    872960
2017-06-30  73.80   2321750
2017-07-03  74.85    417426
2017-07-05  73.10   1293782
2017-07-06  70.53   1871484
2017-07-07  72.30   1359339
2017-07-10  72.42   1480569ticker:NTAP            close   volume
date                      
2017-01-17  35.56  1329667
2017-01-18  35.99  1313155
2017-01-19  35.83  2625928
2017-01-20  36.37  2358949
2017-01-23  36.17  2762479
2017-01-24  37.52  3172752
2017-01-25  37.95  3174696
2017-01-26  37.60  2144022
2017-01-27  37.76  1915534
2017-01-30  38.07  3517443
2017-01-31  38.32  2377821
2017-02-01  38.05  1892012
2017-02-02  38.24  1565284
2017-02-03  38.28  1459413
2017-02-06  38.36  2583719
